atm_number,manufacturer,location_id,atm_id
1,NCR,97,1
10,NCR,50,2
100,NCR,14,3
101,NCR,24,4
102,NCR,41,5
103,Diebold Nixdorf,57,6
104,NCR,49,7
105,Diebold Nixdorf,50,8
106,NCR,100,9
107,Diebold Nixdorf,22,10
108,NCR,65,11
109,Diebold Nixdorf,43,12
11,NCR,54,13
110,Diebold Nixdorf,95,14
111,Diebold Nixdorf,76,15
112,Diebold Nixdorf,108,16
113,Diebold Nixdorf,94,17
12,NCR,52,18
13,NCR,85,19
14,NCR,66,20
15,NCR,46,21
16,NCR,13,22
17,NCR,67,23
18,Diebold Nixdorf,21,24
19,NCR,22,25
2,NCR,57,26
20,NCR,62,27
21,NCR,51,28
22,NCR,99,29
23,Diebold Nixdorf,64,30
24,NCR,33,31
25,Diebold Nixdorf,80,32
26,NCR,95,33
27,NCR,9,34
28,NCR,19,35
29,NCR,44,36
3,NCR,17,37
30,NCR,6,38
31,NCR,93,39
32,NCR,1,40
33,NCR,39,41
34,NCR,47,42
35,NCR,31,43
36,NCR,59,44
37,NCR,27,45
38,NCR,45,46
39,NCR,36,47
4,NCR,98,48
40,Diebold Nixdorf,86,49
41,Diebold Nixdorf,89,50
42,NCR,4,51
43,NCR,23,52
44,NCR,104,53
45,NCR,84,54
46,Diebold Nixdorf,109,55
47,NCR,105,56
48,Diebold Nixdorf,56,57
49,NCR,77,58
5,NCR,29,59
50,NCR,78,60
51,NCR,61,61
52,NCR,20,62
53,NCR,83,63
54,NCR,8,64
55,NCR,38,65
56,Diebold Nixdorf,101,66
57,NCR,103,67
58,NCR,34,68
59,Diebold Nixdorf,5,69
6,NCR,32,70
60,NCR,58,71
61,NCR,2,72
62,Diebold Nixdorf,69,73
63,NCR,15,74
64,NCR,37,75
65,NCR,70,76
66,NCR,28,77
67,NCR,16,78
68,NCR,26,79
69,NCR,72,80
7,Diebold Nixdorf,74,81
70,Diebold Nixdorf,3,82
71,NCR,82,83
72,NCR,79,84
73,NCR,75,85
74,NCR,10,86
75,NCR,53,87
76,NCR,18,88
77,NCR,91,89
78,Diebold Nixdorf,92,90
79,NCR,30,91
8,NCR,7,92
80,NCR,68,93
81,NCR,63,94
82,NCR,35,95
83,NCR,11,96
84,NCR,90,97
85,Diebold Nixdorf,106,98
86,NCR,102,99
87,NCR,40,100
88,NCR,42,101
89,NCR,87,102
9,Diebold Nixdorf,71,103
90,NCR,96,104
91,NCR,12,105
92,NCR,60,106
93,NCR,55,107
94,NCR,88,108
95,NCR,107,109
96,NCR,48,110
97,NCR,73,111
98,NCR,81,112
99,NCR,25,113
