full_date,year,month,day,hour,weekday,date_id
2017-01-01 00:00:00,2017,January,1,0,Sunday,1
2017-01-01 01:00:00,2017,January,1,1,Sunday,2
2017-01-01 02:00:00,2017,January,1,2,Sunday,3
2017-01-01 03:00:00,2017,January,1,3,Sunday,4
2017-01-01 04:00:00,2017,January,1,4,Sunday,5
2017-01-01 05:00:00,2017,January,1,5,Sunday,6
2017-01-01 06:00:00,2017,January,1,6,Sunday,7
2017-01-01 07:00:00,2017,January,1,7,Sunday,8
2017-01-01 08:00:00,2017,January,1,8,Sunday,9
2017-01-01 09:00:00,2017,January,1,9,Sunday,10
2017-01-01 10:00:00,2017,January,1,10,Sunday,11
2017-01-01 11:00:00,2017,January,1,11,Sunday,12
2017-01-01 12:00:00,2017,January,1,12,Sunday,13
2017-01-01 13:00:00,2017,January,1,13,Sunday,14
2017-01-01 14:00:00,2017,January,1,14,Sunday,15
2017-01-01 15:00:00,2017,January,1,15,Sunday,16
2017-01-01 16:00:00,2017,January,1,16,Sunday,17
2017-01-01 17:00:00,2017,January,1,17,Sunday,18
2017-01-01 18:00:00,2017,January,1,18,Sunday,19
2017-01-01 19:00:00,2017,January,1,19,Sunday,20
2017-01-01 20:00:00,2017,January,1,20,Sunday,21
2017-01-01 21:00:00,2017,January,1,21,Sunday,22
2017-01-01 22:00:00,2017,January,1,22,Sunday,23
2017-01-01 23:00:00,2017,January,1,23,Sunday,24
2017-01-02 00:00:00,2017,January,2,0,Monday,25
2017-01-02 01:00:00,2017,January,2,1,Monday,26
2017-01-02 02:00:00,2017,January,2,2,Monday,27
2017-01-02 03:00:00,2017,January,2,3,Monday,28
2017-01-02 04:00:00,2017,January,2,4,Monday,29
2017-01-02 05:00:00,2017,January,2,5,Monday,30
2017-01-02 06:00:00,2017,January,2,6,Monday,31
2017-01-02 07:00:00,2017,January,2,7,Monday,32
2017-01-02 08:00:00,2017,January,2,8,Monday,33
2017-01-02 09:00:00,2017,January,2,9,Monday,34
2017-01-02 10:00:00,2017,January,2,10,Monday,35
2017-01-02 11:00:00,2017,January,2,11,Monday,36
2017-01-02 12:00:00,2017,January,2,12,Monday,37
2017-01-02 13:00:00,2017,January,2,13,Monday,38
2017-01-02 14:00:00,2017,January,2,14,Monday,39
2017-01-02 15:00:00,2017,January,2,15,Monday,40
2017-01-02 16:00:00,2017,January,2,16,Monday,41
2017-01-02 17:00:00,2017,January,2,17,Monday,42
2017-01-02 18:00:00,2017,January,2,18,Monday,43
2017-01-02 19:00:00,2017,January,2,19,Monday,44
2017-01-02 20:00:00,2017,January,2,20,Monday,45
2017-01-02 21:00:00,2017,January,2,21,Monday,46
2017-01-02 22:00:00,2017,January,2,22,Monday,47
2017-01-02 23:00:00,2017,January,2,23,Monday,48
2017-01-03 00:00:00,2017,January,3,0,Tuesday,49
2017-01-03 01:00:00,2017,January,3,1,Tuesday,50
2017-01-03 02:00:00,2017,January,3,2,Tuesday,51
