location,street_name,street_number,zipcode,lat,lon,location_id
Sædding,Tarphagevej,59,6710,55.49817127,8.40834784,1
Esbjerg,Strandbygade,20,6700,55.46817465,8.44026782,2
Holstebro,Hostrupsvej,6,7500,56.37271162,8.62513609,3
Vinderup,Søndergade,5,7830,56.48130757,8.779161,4
Nykøbing Mors Lobby,Kirketorvet,1,7900,56.79501966,8.86027738,5
Nykøbing Mors,Kirketorvet,1,7900,56.79501966,8.86027738,6
Glyngøre,Færgevej,1,7870,56.7623283,8.86671603,7
Durup,Torvet,4,7870,56.74472535,8.94863954,8
Herning,Dalgasgade,30,7400,56.1349,8.9705335,9
Jebjerg,Kirkegade,4,7870,56.67112157,9.0134325,10
Fur,Stenøre,19,7884,56.80476866,9.02002158,11
Intern  Skive,Adelgade,8,7800,56.56678482,9.02660419,12
Skive,Adelgade,8,7800,56.56678482,9.02660419,13
Skive Lobby,Adelgade,8,7800,56.56678482,9.02660419,14
Brugsen i Breum,Aakjærsvej,1,7870,56.68760774,9.06892864,15
Højslev,Østerrisvej,2,7840,56.5505978,9.10987,16
Ikast,Rådhusstrædet,12,7430,56.1385849,9.1538426,17
DAYZ Feriecenter,Livøvej,80,9681,56.89257015,9.17141832,18
Løgstør,Østerbrogade,8,9670,56.96699399,9.25265221,19
Farsø,Torvet,8,9640,56.77126808,9.34014451,20
Viborg,Toldboden,3,8800,56.44774747,9.40115181,21
Kolding,Vejlevej,135,6000,55.50466636,9.45739527,22
Aars,Himmerlandsgade,70,9600,56.80333658,9.5179324,23
Bryggen  Vejle,Sønderbrogade,2,7100,55.7050151,9.5323321,24
Drive Up  Vejle,Havneparken,4,7100,55.70659416,9.5406227,25
Intern  Vejle,Havneparken,4,7100,55.70659416,9.5406227,26
Silkeborg,Borgergade,36,8600,56.17878042,9.5523757,27
Brugsen ANS,Søndermarksgade,14,8643,56.30589423,9.59408012,28
Nibe,Torvet,1,9240,56.9825409,9.6387193,29
Middelfart,Brogade,9,5500,55.50686976,9.72743835,30
Aabybro,Østergade,6,9440,57.16215457,9.73008178,31
Fredericia,Sjællandsgade,33,7000,55.56436593,9.75748564,32
Hobro,Adelgade,31,9500,56.63803754,9.79428314,33
Støvring,Baunebakken,4,9530,56.8903556,9.8355767,34
Skallerup Klit,Nordre Klitvej,21,9800,57.49359103,9.83834586,35
Svenstrup,Godthåbsvej,14,9230,56.9728006,9.8511237,36
Horsens,Grønlandsvej,5,8700,55.85919884,9.85405238,37
Arden,Vestergade,6,9510,56.76904484,9.85874123,38
Vadum,Ellehammersvej,43,9430,57.117728,9.8608141,39
Aalborg Storcenter indg. D,Hobrovej,452,9200,57.00479614,9.87593478,40
Storcenter indg. A,Hobrovej,452,9200,57.00479614,9.87593478,41
Aalborg Storcenter  Afd,Hobrovej,452,9200,57.00479614,9.87593478,42
Skelagervej 15,Skelagervej,15,9000,57.02315277,9.89140138,43
Hasseris,Hasserisvej,113,9000,57.04436137,9.89769248,44
Vestre,Kastetvej,36,9000,57.05344705,9.90529246,45
Skipperen,Vestre Alle,2,9000,57.03389256,9.90814567,46
Aalborg Hallen,Europa Plads,4,9000,57.04365629,9.91267605,47
Østerå  Duus,Østerå,12,9000,57.0485152,9.9219303,48
Østerå  Møller,Østerå,12,9000,57.0485152,9.9219303,49
Intern  Østerå,Østerå,12,9000,57.0485152,9.9219303,50
Nørresundby,Torvet,6,9400,57.0586772,9.9224726,51
Nordkraft,Kjellerups Torv,1,9000,57.04680034,9.93206948,52
Sauersvej,Fridtjof Nansens Vej,2,9210,57.0232364,9.9403567,53
Intern  Brønderslev,Algade,4,9700,57.26926942,9.94542271,54
Brønderslev,Algade,4,9700,57.26926942,9.94542271,55
Vejgaard,Hadsundvej,20,9000,57.04283821,9.95001302,56
Hirtshals,Jørgen Fibigersgade,4,9850,57.59064264,9.95716854,57
Intern  Hjørring,Østergade,8,9800,57.45937731,9.98844571,58
Hjørring,Østergade,8,9800,57.45937731,9.98844571,59
Gistrup,Hadsundvej,346,9260,56.99741236,9.99329414,60
Bispensgade,Bispensgade,35,9800,57.45316498,9.99599643,61
Spar Købmand Tornhøj,Tornhøjvej,4,9220,57.0258851,10.001939,62
Vodskov,Vodskovvej,27,9310,57.104061,10.0271501,63
Hørning Hallen,Toftevej,53,8362,56.0909997,10.0331445,64
Hørning,Nørrealle,12,8362,56.0860924,10.0373502,65
Randers,Østervold,16,8900,56.46187753,10.03778506,66
Menu Købmand Klarup,Klarupvej,52,9270,57.01298625,10.04579745,67
Terndrup,Bymidten,2,9575,56.81513683,10.05740915,68
Storvorde,Vandværksvej,2,9280,57.00472247,10.10145628,69
Hadsund,Storegade,12,9560,56.71570959,10.11378109,70
Taars,Bredgade,91,9830,57.38513474,10.11608329,71
Intern  Hjallerup,Hjallerup Centret,18,9320,57.16760574,10.14766121,72
Hjallerup,Hjallerup Centret,18,9320,57.16760574,10.14766121,73
Højbjerg,Rosenvangsalle,194,8270,56.119184,10.1924757,74
Bindslev,Nørrebro,18,9881,57.54125262,10.19987519,75
Aarhus,Sønder Alle,11,8000,56.1532517,10.2061725,76
Daglig Brugsen Ø.Hurup,Kystvejen,51,9560,56.80412496,10.27129029,77
Odense,Fælledvej,3,5000,55.39420346,10.36993204,78
Intern  Odense,Fælledvej,3,5000,55.39420346,10.36993204,79
Aalbæk,Centralvej,5,9982,57.59326139,10.41166458,80
